Facility Name,Location Type,Operator,Status,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Location
East River Park Zone 3,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",,,,,,40.715899,-73.975189,POINT (-73.975189 40.715899)
Passerelle Building,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.751662,-73.843252,POINT (-73.843252 40.751662)
The High Line Zone 1,Park,NYC Parks,Operational,Year Round,,,,,,,40.743643,-74.006873,POINT (-74.006873 40.743643)
Corporal Thompson Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.638516,-74.117934,POINT (-74.117934 40.638516)
"Bushwick Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/bushwick,40.704567,-73.93962,POINT (-73.93962 40.704567)
Rienzi Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.887635,-73.858784,POINT (-73.858784 40.887635)
55 East 52nd Street POPS,Privately Owned Public Space,Park Avenue Plaza Owner LLC,Operational,Year Round,Everyday 8:00 am-10:00 pm,Partially Accessible,Single-Stall All Gender Restroom(s),No,,,40.759132,-73.973672,POINT (-73.973672 40.759132)
"Ottendorfer Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm
Wednesday: 11:00 am - 7:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Not Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/ottendorfer,40.728915,-73.987744,POINT (-73.987744 40.728915)
South Beach Zone 2,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.588862,-74.066755,POINT (-74.066755 40.588862)
Grand Central (Metro North) LIRR Restroom,Transit,LIRR-MNR,Operational,Year Round,"Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",,,,MTA station with bathrooms located outside of fare gates and open to the wider public,https://new.mta.info/agency/new-york-city-transit/bathrooms,40.751816,-73.976715,POINT (-73.976715 40.751816)
St. Catherine's Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.76531,-73.958579,POINT (-73.958579 40.76531)
Fort Greene Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.692339,-73.977224,POINT (-73.977224 40.692339)
Major Deegan So. Gas Station,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.894936,-73.88258,POINT (-73.88258 40.894936)
Haffen Park Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.873542,-73.839305,POINT (-73.839305 40.873542)
Equity Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.691385,-73.853623,POINT (-73.853623 40.691385)
Morningside Park Zone 1,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.802468,-73.959038,POINT (-73.959038 40.802468)
"Stapleton Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/stapleton,40.626265,-74.077865,POINT (-74.077865 40.626265)
"Brower Park Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/brower-park,40.675379,-73.948568,POINT (-73.948568 40.675379)
